Date,Site ID,POC,Daily Max 1-hour NO2 Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,SITE_LATITUDE,SITE_LONGITUDE
12/02/2020,60370002,2,63,61,Azusa,24,100,34.1365,-117.92391
12/03/2020,60370002,2,27.7,25,Azusa,24,100,34.1365,-117.92391
12/04/2020,60370002,2,34.8,32,Azusa,24,100,34.1365,-117.92391
12/05/2020,60370002,2,25.3,24,Azusa,24,100,34.1365,-117.92391
12/06/2020,60370002,2,25.8,24,Azusa,24,100,34.1365,-117.92391
12/07/2020,60370002,2,38.6,36,Azusa,24,100,34.1365,-117.92391
12/08/2020,60370002,2,33,31,Azusa,24,100,34.1365,-117.92391
12/09/2020,60370002,2,36.8,34,Azusa,24,100,34.1365,-117.92391
12/10/2020,60370002,2,30,28,Azusa,24,100,34.1365,-117.92391
12/11/2020,60370002,2,30.5,28,Azusa,24,100,34.1365,-117.92391
12/12/2020,60370002,2,20,19,Azusa,24,100,34.1365,-117.92391
12/13/2020,60370002,2,19.4,18,Azusa,24,100,34.1365,-117.92391
12/14/2020,60370002,2,19.5,18,Azusa,24,100,34.1365,-117.92391
12/15/2020,60370002,2,37.6,35,Azusa,24,100,34.1365,-117.92391
12/16/2020,60370002,2,40,38,Azusa,24,100,34.1365,-117.92391
12/17/2020,60370002,2,37.8,35,Azusa,24,100,34.1365,-117.92391
12/18/2020,60370002,2,21.6,20,Azusa,24,100,34.1365,-117.92391
12/19/2020,60370002,2,23.3,22,Azusa,24,100,34.1365,-117.92391
12/20/2020,60370002,2,11.1,10,Azusa,24,100,34.1365,-117.92391
12/21/2020,60370002,2,40.7,38,Azusa,24,100,34.1365,-117.92391
12/22/2020,60370002,2,28.5,26,Azusa,22,92,34.1365,-117.92391
12/23/2020,60370002,2,36.4,34,Azusa,22,92,34.1365,-117.92391
12/24/2020,60370002,2,21.6,20,Azusa,24,100,34.1365,-117.92391
12/25/2020,60370002,2,21.8,20,Azusa,24,100,34.1365,-117.92391
12/26/2020,60370002,2,19.1,18,Azusa,24,100,34.1365,-117.92391
12/27/2020,60370002,2,21.6,20,Azusa,24,100,34.1365,-117.92391
12/28/2020,60370002,2,12.8,11,Azusa,24,100,34.1365,-117.92391
12/29/2020,60370002,2,20.8,19,Azusa,24,100,34.1365,-117.92391
