Date,Site ID,POC,Daily Mean PM10 Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,SITE_LATITUDE,SITE_LONGITUDE
09/21/2020,60370016,3,28,26,Glendora,1,100,34.14435,-117.85036
09/22/2020,60370016,3,27,25,Glendora,1,100,34.14435,-117.85036
09/23/2020,60370016,3,27,25,Glendora,1,100,34.14435,-117.85036
09/24/2020,60370016,3,35,32,Glendora,1,100,34.14435,-117.85036
09/25/2020,60370016,3,29,27,Glendora,1,100,34.14435,-117.85036
09/26/2020,60370016,3,27,25,Glendora,1,100,34.14435,-117.85036
09/27/2020,60370016,3,25,23,Glendora,1,100,34.14435,-117.85036
09/28/2020,60370016,3,39,36,Glendora,1,100,34.14435,-117.85036
09/29/2020,60370016,3,24,22,Glendora,1,100,34.14435,-117.85036
09/30/2020,60370016,3,31,29,Glendora,1,100,34.14435,-117.85036
10/01/2020,60370016,3,41,38,Glendora,1,100,34.14435,-117.85036
10/02/2020,60370016,3,38,35,Glendora,1,100,34.14435,-117.85036
10/03/2020,60370016,3,43,40,Glendora,1,100,34.14435,-117.85036
10/04/2020,60370016,3,49,45,Glendora,1,100,34.14435,-117.85036
10/05/2020,60370016,3,59,53,Glendora,1,100,34.14435,-117.85036
10/06/2020,60370016,3,57,52,Glendora,1,100,34.14435,-117.85036
10/07/2020,60370016,3,55,51,Glendora,1,100,34.14435,-117.85036
10/08/2020,60370016,3,42,39,Glendora,1,100,34.14435,-117.85036
10/09/2020,60370016,3,40,37,Glendora,1,100,34.14435,-117.85036
10/10/2020,60370016,3,32,30,Glendora,1,100,34.14435,-117.85036
10/11/2020,60370016,3,29,27,Glendora,1,100,34.14435,-117.85036
10/12/2020,60370016,3,25,23,Glendora,1,100,34.14435,-117.85036
10/13/2020,60370016,3,29,27,Glendora,1,100,34.14435,-117.85036
10/14/2020,60370016,3,36,33,Glendora,1,100,34.14435,-117.85036
10/15/2020,60370016,3,36,33,Glendora,1,100,34.14435,-117.85036
10/16/2020,60370016,3,35,32,Glendora,1,100,34.14435,-117.85036
10/17/2020,60370016,3,35,32,Glendora,1,100,34.14435,-117.85036
10/18/2020,60370016,3,38,35,Glendora,1,100,34.14435,-117.85036
10/19/2020,60370016,3,47,44,Glendora,1,100,34.14435,-117.85036
10/20/2020,60370016,3,55,51,Glendora,1,100,34.14435,-117.85036
10/21/2020,60370016,3,63,55,Glendora,1,100,34.14435,-117.85036
10/22/2020,60370016,3,38,35,Glendora,1,100,34.14435,-117.85036
10/23/2020,60370016,3,30,28,Glendora,1,100,34.14435,-117.85036
10/24/2020,60370016,3,26,24,Glendora,1,100,34.14435,-117.85036
10/25/2020,60370016,3,15,14,Glendora,1,100,34.14435,-117.85036
10/26/2020,60370016,3,169,108,Glendora,1,100,34.14435,-117.85036
10/27/2020,60370016,3,95,71,Glendora,1,100,34.14435,-117.85036
10/28/2020,60370016,3,51,47,Glendora,1,100,34.14435,-117.85036
10/29/2020,60370016,3,32,30,Glendora,1,100,34.14435,-117.85036
10/30/2020,60370016,3,33,31,Glendora,1,100,34.14435,-117.85036
10/31/2020,60370016,3,29,27,Glendora,1,100,34.14435,-117.85036
11/01/2020,60370016,3,22,20,Glendora,1,100,34.14435,-117.85036
11/02/2020,60370016,3,43,40,Glendora,1,100,34.14435,-117.85036
11/03/2020,60370016,3,45,42,Glendora,1,100,34.14435,-117.85036
11/04/2020,60370016,3,40,37,Glendora,1,100,34.14435,-117.85036
11/05/2020,60370016,3,28,26,Glendora,1,100,34.14435,-117.85036
11/06/2020,60370016,3,29,27,Glendora,1,100,34.14435,-117.85036
11/07/2020,60370016,3,15,14,Glendora,1,100,34.14435,-117.85036
11/08/2020,60370016,3,17,16,Glendora,1,100,34.14435,-117.85036
11/09/2020,60370016,3,15,14,Glendora,1,100,34.14435,-117.85036
11/10/2020,60370016,3,15,14,Glendora,1,100,34.14435,-117.85036
11/11/2020,60370016,3,20,19,Glendora,1,100,34.14435,-117.85036
11/12/2020,60370016,3,23,21,Glendora,1,100,34.14435,-117.85036
11/13/2020,60370016,3,30,28,Glendora,1,100,34.14435,-117.85036
11/14/2020,60370016,3,25,23,Glendora,1,100,34.14435,-117.85036
11/15/2020,60370016,3,10,9,Glendora,1,100,34.14435,-117.85036
11/16/2020,60370016,3,17,16,Glendora,1,100,34.14435,-117.85036
11/17/2020,60370016,3,20,19,Glendora,1,100,34.14435,-117.85036
11/18/2020,60370016,3,31,29,Glendora,1,100,34.14435,-117.85036
11/19/2020,60370016,3,24,22,Glendora,1,100,34.14435,-117.85036
11/20/2020,60370016,3,25,23,Glendora,1,100,34.14435,-117.85036
11/21/2020,60370016,3,22,20,Glendora,1,100,34.14435,-117.85036
